relay,mean,variance,standard deviation,mean absolute deviation,median absolute deviation
1D8ED54EA9DF2D46558AD0096DD5D9DD297F13A8,0.346679425239563,0.0028512007528157003,0.040466859365344186,0.027961125373840285,0.021661202007532066
1D963F0A72B8FF21ECD2B2666D70E7040BEDEAB6,0.4069056709607442,0.003587481965648891,0.045188952277344395,0.03066857735315956,0.016530375087261153
1DA888D47E43EDFCC60CBC0E1FDF0C8A43D64343,0.2355343055725097,0.0007621550639757485,0.02485007099243772,0.02032232093811032,0.0191968645048141
1DA8D6E01092B20968F99D6861C5D51B8025B511,0.927217870950699,0.011812346447971423,0.10352802835982071,0.08487434705098466,0.09716818389892574
1DB25DF59DAA01B5BE3D3CEB8AFED115940EBE8B,0.8857712919061835,0.07083748881241414,0.1547703004965172,0.1098877798427235,0.09521346432078963
1DBACC31486FC670FBD403FAE877342EC696D598,0.28834349910418194,0.016950244006628246,0.06222463351673211,0.05186361591021213,0.03908527607917779
1DC17C4A52A458B5C8B1E79157F8665696210E10,0.2558593392372131,0.014741973599908968,0.06090450021869966,0.04266709208488458,0.02598616957068439
1DC6E52ADB9FE4346CEFC05C6916D8B8F7F66D1C,0.8994439363479615,0.02012771594061189,0.1143007581828868,0.07071161963722919,0.016751034593582098
1DCFE4B02216570497F7E83A5B66A43F61DCF385,0.36500800848007203,0.00429905323046455,0.05713087979776775,0.04060898971557613,0.03700155045032496
1DE25F103256538ECEFF042BE2D5B27C377C9FBC,0.2723411213267933,0.003121671924304527,0.04422145905086927,0.03439482125368981,0.039942945606058225
1DE443C3D9C0DC4BB0144180DAF4A3C25BBC91EC,0.25257951815923047,0.0004097308866136417,0.01970989047065976,0.012824287017186435,0.00916737003326411
1DE70504C6E9BB223E2EC4FAD45C68C07A6AE9FB,0.4540434281031291,0.0021853253610540917,0.037074567709318954,0.023241624037424677,0.013179464155435508
1DE8E81240D20D9755B29A8AEA131BE2CD537FB8,0.2713889539241791,0.004103432528058973,0.045708775590683835,0.0304234635829925,0.021507261735200817
1DFE397493D0791DE63F2D6EA5AB6EBCB7B9871A,0.37713961384513156,0.0015496618547975274,0.03910123598658363,0.030546257712624238,0.024172446760264265
1E03D81C9744DE0E3C9DE6E6FBDF1DF9DAEA5AFC,0.2226849973201751,0.0021383768107597336,0.033039897337599315,0.024422905047734544,0.024843783110380106
1E176936547346993584514EB52AE2CC2E1FF4FC,0.36937467575073235,0.00483830021006106,0.061421843522736774,0.03926913642883296,0.028324833369255037
1E1A7C9134637383BE653C41973995A229D81595,0.2530516823132833,0.004563313471286349,0.041245122026738176,0.030368251403172786,0.015027248185873003
1E30069E4E55AF9AC4F288CD17B10BE72552B939,0.7252527523040773,0.851020471694907,0.45377645111245846,0.27423952007293695,0.030928315086364698
1E5136DDC52FAE1219208F0A6BADB0BA62587EE6,0.7717092057069143,0.007698397852791268,0.08582395686007506,0.062231783866882294,0.04147644629478451
1E5618C079D74CF9AE0C5370DE4C6E1AFD5C0B39,0.22071665326754245,0.008877788008110017,0.05600808692012126,0.04115246733029679,0.023479249584674785
1E5E18AC41DAEDF1BE7A02612C297E35CA24949A,0.6819603946473863,0.004330575835543367,0.06420154979198177,0.04407163355085583,0.031665174285570724
1E602E0AAD909BBCF2026C6C844E33A4AEEEB579,0.36175602277119956,0.007280732896899973,0.05164195576769561,0.03281852046648658,0.019161601990461307
1E63C2CED3B6DDCD1078B2A4F10C8A48BD2C31A0,1.5027802922508935,0.01364656894044009,0.11334988843162805,0.06918102784590287,0.03080139027942308
